title,inception,movement,genre,image_url
The Turkish Bath,1862-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Bain%20Turc%2C%20by%20Jean%20Auguste%20Dominique%20Ingres%2C%20from%20C2RMF%20retouched.jpg
The Milkmaid of Bordeaux,1827-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20MilkMaid.jpg
Paris and Helen,1788-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Love%20of%20Paris%20and%20Helen%20by%20Jacques-Louis%20David%20%28cropped%29.jpg
The Lictors Bring to Brutus the Bodies of His Sons,1789-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Brutus.jpg
The Lictors Bring to Brutus the Bodies of His Sons,1789-01-01T00:00:00Z,neoclassicism,interior view,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Brutus.jpg
Portrait of Madame Récamier,1800-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20R%C3%A9camier%2C%20n%C3%A9e%20Julie%20%28dite%20Juliette%29%20Bernard%20-%20Jacques-Louis%20David%20-%20Mus%C3%A9e%20duLouvre%20Peintures%20INV%203708.jpg
Belisarius Begging for Alms,1781-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Belisarius.jpg
Belisarius Begging for Alms,1781-01-01T00:00:00Z,neoclassicism,genre art,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Belisarius.jpg
The Death of Hyacinthos,1801-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Death%20of%20Hyacinthos.jpg
The Death of Hyacinthos,1801-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Death%20of%20Hyacinthos.jpg
Portrait of Count Stanislas Potocki,1780-01-01T00:00:00Z,neoclassicism,equestrian portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Equestrian%20portrait%20of%20Stanis%C5%82aw%20Kostka%20Potocki%20-%20Google%20Art%20Project.jpg
Self-portrait,1794-01-01T00:00:00Z,neoclassicism,self-portrait,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Self%20Portrait.jpg
Self-portrait with three collars,1791-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Self-Portrait%20-%20WGA6066.jpg
